,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,52.4
112,246.0
113,224.4
114,273.0
115,302.8
116,309.4
117,398.6
118,402.6
119,337.8
120,356.2
121,349.0
122,393.2
123,477.0
124,506.0
125,519.6
126,526.8
127,498.8
128,444.8
129,399.4
130,258.4
131,347.4
132,585.0
133,586.6
134,423.6
135,357.6
136,440.0
137,438.2
138,355.6
139,318.6
140,389.0
141,452.0
142,626.6
143,461.6
144,377.4
145,332.0
146,346.0
147,327.0
148,364.2
149,522.8
150,381.8
151,340.2
152,437.2
153,473.4
154,421.6
155,323.0
156,430.2
157,544.6
158,532.2
159,520.6
160,511.4
161,502.0
162,484.6
163,478.2
164,468.4
165,458.4
166,433.8
167,425.8
168,419.6
169,417.6
170,409.2
171,369.0
172,378.2
173,368.0
174,362.0
175,279.2
176,244.6
177,269.8
178,305.0
179,308.8
180,303.8
181,233.4
182,276.8
183,260.6
184,236.0
185,235.6
186,210.4
187,206.4
188,195.4
189,156.6
190,169.2
191,160.0
192,141.4
193,145.0
194,115.0
195,83.6
196,83.8
197,77.47710886
198,69.71339216
199,89.0
200,83.2
201,73.8
202,63.4
203,54.6
204,43.0
205,35.2
206,26.4
207,21.0
208,15.2
209,8.4
210,5.4
211,2.4
212,2.0
213,2.0
214,2.0
215,2.0
216,2.0
217,2.0
218,2.0
219,2.0
220,2.0
221,2.0
222,2.0
223,2.0
224,2.0
225,2.0
226,2.0
227,2.0
228,1.6
229,2.0
230,1.8
231,1.6
232,2.0
233,1.6
234,1.8
235,1.2
236,1.4
237,1.0
238,1.6
239,1.6
240,1.0
241,1.4
242,2.0
243,2.0
244,2.0
245,1.2
246,2.0
247,2.0
248,1.4
249,1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,1.4
255,1.2
256,1.0
257,1.0
258,1.0
259,1.0
260,1.8
261,1.6
262,1.2
263,1.4
264,1.0
265,1.6
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,1.6
279,1.0
280,1.2
281,1.4
282,1.0
283,1.6
284,0.4
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,1.2
297,1.0
298,1.0
299,1.0
300,1.0
301,1.6
302,1.6
303,1.0
304,1.4
305,1.2
306,1.0
307,1.4
308,1.8
309,1.6
310,2.0
311,2.0
312,2.0
313,2.0
314,1.4
315,2.0
316,1.0
317,1.6
318,1.0
319,1.4
320,1.8
321,1.0
322,1.0
323,1.2
324,1.4
325,1.4
326,2.0
327,2.0
328,1.0
329,1.0
330,1.0
331,1.4
332,1.8
333,1.0
334,1.4
335,2.0
336,2.0
337,2.0
338,2.0
339,2.0
340,2.0
341,1.4
342,1.8
343,2.0
344,1.0
345,1.2
346,2.0
347,1.2
348,2.0
349,1.0
350,1.8
351,1.4
352,2.0
353,2.0
354,2.0
355,1.8
356,1.6
357,2.0
358,2.0
359,2.0
360,2.0
361,1.6
362,1.8
363,1.4
364,1.2
365,2.0
366,1.4
367,3.2
368,6.6
369,11.6
370,17.4
371,22.8
372,30.0
373,37.8
374,45.4
375,53.0
376,61.4
377,69.8
378,76.8
379,82.2
380,86.8
381,96.0
382,104.4
383,115.0
384,125.0
385,134.8
386,144.6
387,156.4
388,169.2
389,180.6
390,189.0
391,198.8
392,211.2
393,223.2
394,233.8
395,245.6
396,256.4
397,269.4
398,280.6
399,289.2
400,300.8
401,312.4
402,321.4
403,333.6
404,343.2
405,354.6
406,367.2
407,379.6
408,392.0
409,402.2
410,409.0
411,420.4
412,431.0
413,441.4
414,449.2
415,457.4
416,463.2
417,470.6
418,479.0
419,485.4
420,496.4
421,503.0
422,511.4
423,519.8
424,527.0
425,533.4
426,538.0
427,541.0
428,543.8
429,551.0
430,559.2
431,565.2
432,570.6
433,568.8
434,570.6
435,564.6
436,560.4
437,557.8
438,555.8
439,550.0
440,552.6
441,560.6
442,555.2
443,553.6
444,543.2
445,537.2
446,525.4
447,509.2
448,509.0
449,494.2
450,497.8
451,493.0
452,483.4
453,472.0
454,467.0
455,453.8
456,434.4
457,423.2
458,413.2
459,406.0
460,399.6
461,387.8
462,370.8
463,356.4
464,347.6
465,326.6
466,321.8
467,303.8
468,295.4
469,279.6
470,265.6
471,254.8
472,242.2
473,228.0
474,215.6
475,195.8
476,185.0
477,174.0
478,160.6
479,154.6
480,146.0
481,135.4
482,122.8
483,111.4
484,101.2
485,92.0
486,83.8
487,77.0
488,68.2
489,58.8
490,51.4
491,42.8
492,34.2
493,28.2
494,22.0
495,17.0
496,11.4
497,7.8
498,3.6
499,2.0
500,1.6
501,2.0
502,2.0
503,2.0
504,2.0
505,2.0
506,2.0
507,2.0
508,2.0
509,2.0
510,2.0
511,2.0
512,2.0
513,2.0
514,2.0
515,2.0
516,2.0
517,2.0
518,2.0
519,2.0
520,2.0
521,2.0
522,2.0
523,2.0
524,2.0
525,2.0
526,1.2
527,1.6
528,2.0
529,1.4
530,2.0
531,2.0
532,2.0
533,2.0
534,2.0
535,2.0
536,2.0
537,2.0
538,2.0
539,2.0
540,2.0
541,2.0
542,2.0
543,2.0
544,2.0
545,1.4
546,2.0
547,2.0
548,2.0
549,2.0
550,2.0
551,2.0
552,2.0
553,2.0
554,2.0
555,2.0
556,2.0
557,2.0
558,2.0
559,2.0
560,2.0
561,2.0
562,2.0
563,1.8
564,1.6
565,2.0
566,2.0
567,2.0
568,1.0
569,1.6
570,1.6
571,1.4
